#    time         norm         surv
  2.750000E+00  1.000381E+00  9.995694E-01
  5.500000E+00  9.993483E-01  9.976546E-01
  8.250000E+00  1.000735E+00  9.988469E-01
  1.100000E+01  9.994038E-01  9.980463E-01
  1.375000E+01  1.000270E+00  9.996702E-01
  1.650000E+01  1.000147E+00  9.998218E-01
  1.925000E+01  9.994871E-01  9.986325E-01
  2.200000E+01  1.000713E+00  9.990052E-01
  2.475000E+01  9.992879E-01  9.973125E-01
  2.750000E+01  1.000555E+00  9.992506E-01
  3.025000E+01  9.996767E-01  9.992738E-01
  3.300000E+01  1.000072E+00  9.997400E-01
  3.575000E+01  1.000173E+00  9.989525E-01
  3.850000E+01  9.995840E-01  9.975283E-01
  4.125000E+01  1.000632E+00  9.987092E-01
  4.400000E+01  9.992638E-01  9.982282E-01
  4.675000E+01  1.000554E+00  1.000196E+00
  4.950000E+01  1.000009E+00  9.995853E-01
  5.225000E+01  9.993752E-01  9.983984E-01
  5.500000E+01  1.000640E+00  9.992256E-01
  5.775000E+01  1.000006E+00  9.987008E-01
  6.050000E+01  9.993985E-01  9.986946E-01
  6.325000E+01  1.000731E+00  1.000480E+00
  6.600000E+01  9.993698E-01  9.986401E-01
  6.875000E+01  1.000587E+00  9.985368E-01
  7.150000E+01  9.993352E-01  9.963844E-01
  7.425000E+01  1.000735E+00  9.983625E-01
  7.700000E+01  9.993422E-01  9.983364E-01
  7.975000E+01  1.000482E+00  1.000046E+00
  8.250000E+01  9.995743E-01  9.987010E-01
  8.525000E+01  1.000604E+00  9.991175E-01
  8.800000E+01  9.992928E-01  9.978236E-01
  9.075000E+01  9.998818E-01  9.988438E-01
  9.350000E+01  1.000646E+00  9.999503E-01
  9.625000E+01  1.000661E+00  1.000120E+00
  9.900000E+01  1.000129E+00  9.994195E-01
  1.017500E+02  9.993665E-01  9.982537E-01
  1.045000E+02  9.997539E-01  9.983764E-01
  1.072500E+02  1.000601E+00  9.996146E-01
  1.100000E+02  9.995136E-01  9.989774E-01
  1.127500E+02  9.997691E-01  9.983642E-01
  1.155000E+02  1.000679E+00  9.973042E-01
  1.182500E+02  1.000507E+00  9.956438E-01
  1.210000E+02  9.996052E-01  9.954109E-01
  1.237500E+02  9.995200E-01  9.972083E-01
  1.265000E+02  1.000649E+00  9.998425E-01
  1.292500E+02  9.997748E-01  9.994369E-01
  1.320000E+02  9.992672E-01  9.988660E-01
  1.347500E+02  9.992645E-01  9.988717E-01
  1.375000E+02  9.993876E-01  9.986763E-01
  1.402500E+02  9.998843E-01  9.987565E-01
  1.430000E+02  1.000230E+00  9.991215E-01
  1.457500E+02  9.999171E-01  9.986160E-01
  1.485000E+02  9.993016E-01  9.971046E-01
  1.512500E+02  1.000634E+00  9.973690E-01
  1.540000E+02  1.000502E+00  9.967528E-01
  1.567500E+02  1.000460E+00  9.968148E-01
  1.595000E+02  1.000719E+00  9.964689E-01
  1.622500E+02  1.000642E+00  9.949552E-01
  1.650000E+02  1.000624E+00  9.948367E-01
  1.677500E+02  1.000536E+00  9.966789E-01
  1.705000E+02  9.994860E-01  9.977069E-01
  1.732500E+02  9.992873E-01  9.980476E-01
  1.760000E+02  9.994100E-01  9.978292E-01
  1.787500E+02  1.000729E+00  9.992156E-01
  1.815000E+02  9.992928E-01  9.976433E-01
  1.842500E+02  1.000616E+00  9.986456E-01
  1.870000E+02  1.000341E+00  9.986128E-01
  1.897500E+02  1.000490E+00  9.988034E-01
  1.925000E+02  9.998096E-01  9.959870E-01
  1.952500E+02  1.000525E+00  9.934209E-01
  1.980000E+02  9.997198E-01  9.909800E-01
  2.007500E+02  9.999758E-01  9.915107E-01
  2.035000E+02  9.999480E-01  9.916239E-01
  2.062500E+02  9.996960E-01  9.912604E-01
  2.090000E+02  1.000364E+00  9.931219E-01
  2.117500E+02  9.993440E-01  9.950522E-01
  2.145000E+02  1.000362E+00  9.975626E-01
  2.172500E+02  9.994331E-01  9.953056E-01
  2.200000E+02  1.000740E+00  9.955709E-01
  2.227500E+02  1.000508E+00  9.958974E-01
  2.255000E+02  1.000087E+00  9.959760E-01
  2.282500E+02  9.992693E-01  9.955420E-01
  2.310000E+02  1.000340E+00  9.976448E-01
  2.337500E+02  9.995571E-01  9.959935E-01
  2.365000E+02  1.000558E+00  9.917128E-01
  2.392500E+02  9.993581E-01  9.842607E-01
  2.420000E+02  1.000460E+00  9.831848E-01
  2.447500E+02  1.000641E+00  9.847104E-01
  2.475000E+02  1.000739E+00  9.864067E-01
  2.502500E+02  9.994678E-01  9.876582E-01
  2.530000E+02  1.000018E+00  9.923444E-01
  2.557500E+02  1.000001E+00  9.954458E-01
  2.585000E+02  1.000661E+00  9.944900E-01
  2.612500E+02  9.997956E-01  9.897308E-01
  2.640000E+02  1.000619E+00  9.887677E-01
  2.667500E+02  9.998777E-01  9.877735E-01
  2.695000E+02  9.992800E-01  9.881218E-01
  2.722500E+02  9.994911E-01  9.914387E-01
  2.750000E+02  9.993919E-01  9.933903E-01
  2.777500E+02  1.000683E+00  9.901463E-01
  2.805000E+02  1.000094E+00  9.805571E-01
  2.832500E+02  1.000422E+00  9.764464E-01
  2.860000E+02  9.992734E-01  9.743487E-01
  2.887500E+02  1.000608E+00  9.726518E-01
  2.915000E+02  1.000618E+00  9.734234E-01
  2.942500E+02  9.999908E-01  9.803596E-01
  2.970000E+02  9.995443E-01  9.876056E-01
  2.997500E+02  9.996579E-01  9.876854E-01
  3.025000E+02  1.000526E+00  9.829747E-01
  3.052500E+02  9.993484E-01  9.796350E-01
  3.080000E+02  9.994712E-01  9.780304E-01
  3.107500E+02  1.000275E+00  9.756117E-01
  3.135000E+02  9.995143E-01  9.771243E-01
  3.162500E+02  9.994501E-01  9.832274E-01
  3.190000E+02  9.999994E-01  9.828750E-01
  3.217500E+02  1.000442E+00  9.705830E-01
  3.245000E+02  1.000360E+00  9.617051E-01
  3.272500E+02  9.993208E-01  9.611621E-01
  3.300000E+02  9.996095E-01  9.544558E-01
  3.327500E+02  1.000530E+00  9.485459E-01
  3.355000E+02  9.994293E-01  9.564379E-01
  3.382500E+02  1.000352E+00  9.713445E-01
  3.410000E+02  1.000045E+00  9.761082E-01
  3.437500E+02  9.994295E-01  9.685142E-01
  3.465000E+02  1.000680E+00  9.654932E-01
  3.492500E+02  1.000647E+00  9.626775E-01
  3.520000E+02  9.993806E-01  9.508011E-01
  3.547500E+02  9.992817E-01  9.478471E-01
  3.575000E+02  1.000549E+00  9.583005E-01
  3.602500E+02  9.998049E-01  9.643545E-01
  3.630000E+02  9.993471E-01  9.525549E-01
  3.657500E+02  9.998403E-01  9.367254E-01
  3.685000E+02  1.000708E+00  9.374885E-01
  3.712500E+02  9.997810E-01  9.275269E-01
  3.740000E+02  9.995437E-01  9.054890E-01
  3.767500E+02  9.993422E-01  9.088438E-01
  3.795000E+02  9.996132E-01  9.282596E-01
  3.822500E+02  9.994694E-01  9.419136E-01
  3.850000E+02  9.997310E-01  9.372640E-01
  3.877500E+02  1.000480E+00  9.292879E-01
  3.905000E+02  9.993417E-01  9.265144E-01
  3.932500E+02  1.000195E+00  9.072701E-01
  3.960000E+02  1.000539E+00  8.894808E-01
  3.987500E+02  1.000690E+00  8.966090E-01
  4.015000E+02  1.000660E+00  9.118694E-01
  4.042500E+02  1.000382E+00  9.085343E-01
  4.070000E+02  9.997137E-01  8.862549E-01
  4.097500E+02  9.995760E-01  8.821181E-01
  4.125000E+02  1.000386E+00  8.739073E-01
  4.152500E+02  9.995443E-01  8.295652E-01
  4.180000E+02  1.000301E+00  8.233758E-01
  4.207500E+02  1.000649E+00  8.511328E-01
  4.235000E+02  9.994739E-01  8.717720E-01
  4.262500E+02  1.000277E+00  8.764889E-01
  4.290000E+02  9.997301E-01  8.635530E-01
  4.317500E+02  9.995361E-01  8.535915E-01
  4.345000E+02  9.996036E-01  8.203046E-01
  4.372500E+02  1.000265E+00  7.953689E-01
  4.400000E+02  9.994041E-01  8.104587E-01
  4.427500E+02  9.996401E-01  8.316134E-01
  4.455000E+02  1.000275E+00  8.404989E-01
  4.482500E+02  1.000275E+00  8.249753E-01
  4.510000E+02  9.994767E-01  8.032775E-01
  4.537500E+02  1.000568E+00  7.778406E-01
  4.565000E+02  1.000351E+00  7.385894E-01
  4.592500E+02  1.000070E+00  7.433602E-01
